tweet_id,favorites,retweet_count
833124694597443584,19865,4733
832998151111966721,13031,2139
832769181346996225,0,38
832757312314028032,16602,3529
832682457690300417,11677,2845
832645525019123713,2884,521
832636094638288896,15606,2721
832397543355072512,11786,2158
832369877331693569,16890,3123
832273440279240704,11153,2279
832215909146226688,0,6068
832215726631055365,0,9115
832088576586297345,62,2
832040443403784192,0,9377
832032802820481025,17583,4560
831939777352105988,23597,5995
831926988323639298,330,34
831911600680497154,27154,6352
831670449226514432,10258,1772
831650051525054464,7007,1876
831552930092285952,8838,2269
831322785565769729,9140,1521
831315979191906304,6443,1102
831309418084069378,11593,2411
831262627380748289,11723,1994
830956169170665475,7873,1462
830583320585068544,65765,16388
830173239259324417,0,5558
830097400375152640,9636,2868
829878982036299777,0,4898
829861396166877184,12070,1896
829501995190984704,31266,10378
829449946868879360,10316,1963
829141528400556032,24040,7175
829011960981237760,52495,15993
828801551087042563,0,3355
828770345708580865,25238,5730
828708714936930305,35991,10953
828650029636317184,9379,1309
828409743546925057,6266,1141
828408677031882754,7583,1260
828381636999917570,12426,2176
828376505180889089,7285,1046
828372645993398273,12413,2874
828361771580813312,2155,171
828046555563323392,11594,2813
828011680017821696,10228,2112
827933404142436356,19814,5138
827653905312006145,15306,2964
827600520311402496,7375,924
827324948884643840,15627,2977
827199976799354881,10450,2184
826958653328592898,21297,4898
826848821049180160,35829,9959
826615380357632002,0,3912
826598799820865537,5067,245
826598365270007810,9907,2304
826476773533745153,18169,4110
826240494070030336,13122,2564
826204788643753985,4818,907
826115272272650244,15447,3044
825876512159186944,10357,1831
825829644528148480,12598,2445
825535076884762624,56233,17277
825147591692263424,18079,4460
825120256414846976,0,1229
825026590719483904,6209,1229
824796380199809024,0,5414
824775126675836928,14739,3449
824663926340194305,10413,1742
824325613288833024,11693,10391
824297048279236611,14897,3794
824025158776213504,4770,589
823939628516474880,10507,2659
823719002937630720,0,10992
823699002998870016,13826,2479
823581115634085888,12886,2587
823333489516937216,693,22
823322678127919110,15565,3952
823269594223824897,0,9727
822975315408461824,17154,3388
822872901745569793,130114,42494
822859134160621569,13117,2234
822647212903690241,0,6311
822610361945911296,14662,2909
822489057087389700,17953,6311
822462944365645825,27658,14028
822244816520155136,34610,9727
822163064745328640,0,4682
821886076407029760,11210,2269
821813639212650496,0,3330
821765923262631936,8324,1631
821522889702862852,7965,1727
821421320206483457,0,5491
821407182352777218,11637,4272
821153421864615936,254,10
821149554670182400,8545,1941
821107785811234820,9515,2104
